10.1103/PhysRevA.42.2292 n5u2
10.1103/PhysRevA.42.2292 n1u1
10.1103/PhysRevLett.74.4181 v5n1
10.1103/PhysRevLett.74.4181 o3r1
10.1103/PhysRevLett.74.4181 u6b2
10.1103/PhysRevB.11.3031 u4q1
10.1103/PhysRevC.14.1630 n6p2
10.1103/PhysRevC.14.1630 e1q3
10.1103/PhysRevD.70.063525 l4x3
10.1103/PhysRevD.15.1991 d5f3
10.1103/PhysRevD.15.1991 h2e2
10.1103/PhysRevE.63.061710 c6h2
10.1103/PhysRevD.30.844 x5r3
10.1103/PhysRevD.30.844 b6z2
10.1103/PhysRevD.8.1940 c2b3
10.1103/PhysRevB.28.3362 s4z3
10.1103/PhysRevB.28.3362 g6m3
10.1103/PhysRevB.28.3362 x4r3
10.1103/PhysRevB.70.155319 w2p3
10.1103/PhysRevA.6.1340 f1k2
10.1103/PhysRevA.6.1340 t1c1
10.1103/PhysRevA.21.1297 x3s2
10.1103/PhysRevA.21.1297 p6s3
10.1103/PhysRevA.23.1801 o4k3
10.1103/PhysRevA.23.1807 v2t3
10.1103/PhysRevA.23.1807 a5c1
10.1103/PhysRevB.53.2126 k4s2
10.1103/PhysRevB.53.2126 t2f3
10.1103/PhysRevB.53.2126 w6a1
10.1103/PhysRevA.70.062718 v6p2
10.1103/PhysRevA.70.062718 w2j2
10.1103/PhysRevA.70.062718 f3d2
10.1103/PhysRevA.70.062718 m6m3
10.1103/PhysRevA.70.062718 x4w3
10.1103/PhysRevA.25.1993 t4r2
10.1103/PhysRevA.25.1993 m5p3
10.1103/PhysRevB.45.4745 s1b1
10.1103/PhysRevB.45.4745 k3g2
10.1103/PhysRevE.60.386 e3y2
10.1103/PhysRevE.60.386 f4o1
10.1103/PhysRevE.60.386 h4u3
10.1103/PhysRevA.23.2347 e4y1
10.1103/PhysRevA.23.2347 h1m3
10.1103/PhysRevA.8.2298 h5m2
10.1103/PhysRevA.8.2298 r4v1
10.1103/PhysRevD.61.035007 w6d2
10.1103/PhysRevD.61.035007 v1v3
10.1103/PhysRevD.61.035006 h2a2
10.1103/PhysRevD.48.1526 w1a2
10.1103/PhysRevD.48.1526 w2s2
10.1103/PhysRevD.61.124005 m4j2
10.1103/PhysRevA.36.2850 r3r2
10.1103/PhysRevA.36.2850 t2n2
10.1103/PhysRevA.36.2850 s2f2
10.1103/PhysRevLett.78.1399 r6e3
10.1103/PhysRevLett.78.1399 m2v2
10.1103/PhysRevE.66.031913 o2z2
10.1103/PhysRevE.66.031913 u6b2
10.1103/PhysRevE.66.031913 r1d1
10.1103/PhysRevE.64.046608 q3g2
10.1103/PhysRevB.22.1348 r1x2
10.1103/PhysRevB.22.1348 b2y1
10.1103/PhysRevB.3.1985 u3q3
10.1103/PhysRevB.3.1985 v3p3
10.1103/PhysRevB.3.1985 x5t2
10.1103/PhysRevLett.48.1711 w1f3
10.1103/PhysRevLett.48.1711 o1f1
10.1103/PhysRevB.8.385 z6s2
10.1103/PhysRevB.8.385 v4r3
10.1103/PhysRevD.31.3162 g1p1
10.1103/PhysRevD.31.3162 e6b3
10.1103/PhysRevLett.32.284 t6y1
10.1103/PhysRevLett.32.284 v2l1
10.1103/PhysRevLett.32.284 v6f1
10.1103/PhysRevLett.32.284 x3q1
10.1103/PhysRevLett.32.284 q1d3
10.1103/PhysRevA.3.1780 z1o2
10.1103/PhysRevA.3.1780 m3w3
10.1103/PhysRevA.3.1780 t2q3
10.1103/PhysRevB.31.8188 x6a3
10.1103/PhysRevA.36.3457 p6a1
10.1103/PhysRevD.10.1310 a1c3
10.1103/PhysRevD.10.1310 h1e1
10.1103/PhysRevE.49.R4811 g5z2
10.1103/PhysRevE.49.R4811 l2d2
10.1103/PhysRevB.65.212302 z5u1
10.1103/PhysRevB.65.212302 p1c2
10.1103/PhysRevLett.93.114501 a5g1
10.1103/PhysRevLett.93.114501 s1v1
10.1103/PhysRevB.63.132505 v6a3
10.1103/PhysRevB.63.132505 h1u1
10.1103/PhysRevB.63.132505 x4l3
10.1103/PhysRevD.57.5141 o2w3
10.1103/PhysRevD.57.5141 z3p3
10.1103/PhysRevD.57.5141 e5f3
10.1103/PhysRevD.38.2808 s6p2
10.1103/PhysRevD.38.2808 v2q2
10.1103/PhysRevC.38.1921 l6b2
10.1103/PhysRevC.38.1921 l6n2
10.1103/PhysRevC.58.3553 g1k2
10.1103/PhysRevC.58.3553 d3l3
10.1103/PhysRevC.58.3553 t6n1
10.1103/PhysRevC.58.3553 l5h3
10.1103/PhysRevC.58.3553 p6t1
10.1103/PhysRevC.58.3553 h6j3
10.1103/PhysRevC.58.3553 u1b1
10.1103/PhysRevC.58.3553 s6l3
10.1103/PhysRevC.58.3553 x6l1
10.1103/PhysRevC.58.3553 c4s2
10.1103/PhysRevC.58.3553 q4m3
10.1103/PhysRevC.11.476 h6g2
10.1103/PhysRevC.11.476 l3a2
10.1103/PhysRevLett.87.052301 x3c3
10.1103/PhysRevLett.87.052301 c3r2
10.1103/PhysRevLett.87.052301 l3p2
10.1103/PhysRevLett.87.052301 r5a1
10.1103/PhysRevLett.87.052301 h2m3
10.1103/PhysRevLett.87.052301 f3z2
10.1103/PhysRevLett.87.052301 r6v3
10.1103/PhysRevLett.87.052301 u2q1
10.1103/PhysRevLett.87.052301 g4g3
10.1103/PhysRevLett.87.052301 y6t1
10.1103/PhysRevLett.87.052301 x2w2
10.1103/PhysRevC.24.2260 p4c1
10.1103/PhysRevC.24.2260 r2y2
10.1103/PhysRevC.24.2260 l1c3
10.1103/PhysRevC.24.2260 q5b1
10.1103/PhysRevC.24.2260 t4a2
10.1103/PhysRevE.62.1927 k4u1
10.1103/PhysRevE.62.1927 h2l1
10.1103/PhysRevA.45.4904 z4k1
10.1103/PhysRevA.45.4904 j4y2
10.1103/PhysRevA.45.4904 o5n3
10.1103/PhysRevA.45.4904 y5a2
10.1103/PhysRevD.30.2415 n5o2
10.1103/PhysRevD.30.2415 t4v2
10.1103/PhysRevB.24.4729 a6u3
10.1103/PhysRevB.24.4729 t5m1
10.1103/PhysRevC.18.1026 m2k2
10.1103/PhysRevC.18.1026 o6j1
10.1103/PhysRevC.1.1477 e4v3
10.1103/PhysRevC.1.1477 t5a1
10.1103/PhysRevC.1.1477 b5z3
10.1103/PhysRevB.51.6287 t2x3
10.1103/PhysRevB.51.6287 o6j2
10.1103/PhysRevD.30.2418 v3z3
10.1103/PhysRevD.30.2418 t4v2
10.1103/PhysRevA.61.013807 z4k1
10.1103/PhysRevA.61.013807 p3c1
10.1103/PhysRevD.1.358 n5a1
10.1103/PhysRevD.1.358 x2w2
10.1103/PhysRevD.1.358 a6o3
10.1103/PhysRevD.1.351 d5f3
10.1103/PhysRevD.1.351 d3n2
10.1103/PhysRevA.65.053826 z4k1
10.1103/PhysRevA.61.013809 z4k1
10.1103/PhysRevB.2.1405 t5t2
10.1103/PhysRevB.2.1405 h2m3
10.1103/PhysRevC.23.518 a6h1
10.1103/PhysRevB.62.R739 f4x2
10.1103/PhysRevB.62.R739 a4x2
10.1103/PhysRevB.62.R739 p5w1
10.1103/PhysRevB.62.R739 y3q1
10.1103/PhysRevB.62.R739 q1e2
10.1103/PhysRevB.47.11774 r5u2
10.1103/PhysRevB.47.11774 u5d1
10.1103/PhysRevB.47.11774 d1t3
10.1103/PhysRevA.28.2767 b6g2
10.1103/PhysRevA.28.2767 q1v3
10.1103/PhysRevA.51.1312 r6j2
10.1103/PhysRevA.51.1312 b6g3
10.1103/PhysRevA.51.1312 w5b1
10.1103/PhysRevA.51.1312 n2y3
10.1103/PhysRevA.51.1312 s6f2
